Chiave di ticket,ID ticket,Riepilogo,Descrizione
KAN-4,10003,"Come giocatore, voglio avviare una nuova simulazione con una griglia definita, per avere uno spazio base su cui costruire la mia città","Il sistema deve generare una mappa logica 16x24. Tutte le celle devono risultare inizialmente ""vuote"" e disponibili per la costruzione."
KAN-9,10008,"Come giocatore, voglio essere avvisato se cerco di costruire dove non è possibile, per evitare errori di pianificazione urbana","Il sistema deve rifiutare la costruzione su una cella già occupata. Deve rifiutare la costruzione se il Budget attuale è inferiore al costo dell'edificio, sollevando un'eccezione gestita a livello di UI."
KAN-23,10054,Come giocatore voglio delle metriche che rappresentino l'andamento della città,"Le metriche gestite dalla simulazione sono: Finanze, Popolazione, Felicità, Lavoro, Sicurezza, Sanità, Ecologia.
Ognuna delle metriche viene influenzata dal piazzamento degli edifici nella griglia e dalle altre statistiche a loro volta (Felicità è influenzata da Lavoro, Sicurezza, Sanità ed Ecologia)."
KAN-6,10005,"Come giocatore, voglio allocare lotti residenziali e commerciali, per attirare popolazione e avviare l'economia",Il piazzamento di queste zone deve occupare una cella libera. L'azione deve dedurre il costo di costruzione dal Budget cittadino ma aumentare rispettivamente Popolazione ed Economia
KAN-7,10006,"Come giocatore, voglio costruire fabbriche, per garantire un forte afflusso di denaro nelle casse comunali",La costruzione deve aumentare i posti di lavoro (statistica Lavoro). Deve contestualmente abbassare il livello di Ecologia
KAN-21,10020,Come giocatore voglio poter aumentare il livello degli edifici in modo da avere un impatto scalare e progressivo sulla crescita dei parametri della mia città.,"Il sistema deve gestire un attributo ""livello"" per le entità di tipo Edificio. Il calcolo nel motore di simulazione (Tick) deve moltiplicare o sommare i modificatori base in funzione di questo livello."
KAN-29,10092,Come giocatore voglio che sia possibile posizionare zone verdi,Voglio sia possibile inserire zone verdi per innalzare il livello di Ecologia
KAN-24,10055,Come giocatore voglio che sia presente una dinamica di gestione dei servizi di base degli edifici,"|Perchè un edificio influisca nelle dinamiche cittadine dev’essere collegato a dei servizi di base, tra cui: una strada, una fonte d’acqua, una fonte di elettricità, una centrale di polizia, una centrale dei pompieri (i quali influenzano sicurezza) e un ospedale (che influenza sanità). Pompieri, ospedale e polizia a livello 1 devono avere un raggio massimo di copertura pari a 7, aumentabile con l’avanzare dei livelli|"
KAN-8,10007,"Come giocatore, voglio che centrali elettriche e acquedotti garantiscano il servizio ad un massimo di cittadini","Ogni edificio di supporto deve poter garantire il servizio ad un massimo di popolazione, quindi per ampliare il servizio è necessario aumentare il numero di edifici di supporto"
KAN-10,10009,"Come giocatore, voglio far avanzare il tempo (""Step to Next Month""), per consolidare gli effetti delle mie costruzioni","L'attivazione del ""Tick"" deve far iterare il motore di simulazione su tutte le celle occupate della griglia.
A ogni Tick, il sistema aggiorna tutte le statistiche sulla base degli edifici piazzati."
KAN-16,10015,"Come sindaco, voglio attivare una ""Environmental Tax"", per arginare l'inquinamento a costo di sacrificare le entrate","L'attivazione sostituisce la strategia di calcolo standard. Nel Tick successivo, l'inquinamento generato dalle industrie viene dimezzato e i profitti industriali ridotti."
KAN-17,10016,"Come sindaco, voglio attivare una politica di ""Industrial Expansion"", per dare un boost immediato all'economia","L'attivazione sostituisce la strategia in uso. Incrementa del i profitti generati dalle fabbriche, abbassando notevolmente il parametro di Ecologia"
KAN-18,10017,"Tester, voglio salvare la mia città corrente in un file, per interrompere e riprendere la partita in futuro",Il sistema deve serializzare l'oggetto CityState e l'intera UrbanGrid in un file formato JSON locale
KAN-20,10019,"Come giocatore, voglio che i grafici a schermo si aggiornino autonomamente dopo ogni mia azione, per avere feedback immediato","La UI deve essere in ascolto del dominio logico tramite Observer Pattern. Quando il motore esegue un Tick, la vista riceve la notifica e fa un refresh automatico di Budget, Happiness e Pollution, senza che il dominio conosca la classe della UI."
KAN-50,10145,"Come giocatore, voglio che siano presenti degli eventi straordinari","|Voglio che ad ogni Tick ci sia la possibilità che si presenti un evento casuale che influenzi la grid e i parametri della città, anche per diversi Tick consecutivi (“Guerra” abbassa la felicità, “Crisi economica” abbassa le finanze, “Primavera” aumenta felicità ed Ecologia…)|"
KAN-51,10146,Come giocatore voglio una dinamica di gestione della popolazione,|Ad ogni Tick voglio che la popolazione aumenti in funzione dei parametri Felicità e Lavoro|
KAN-52,10147,"Come giocatore, voglio che la partita possa terminare con una sconfitta","|Il sistema deve monitorare costantemente le finanze della città ad ogni Tick. Se il budget scende sotto lo zero (valore negativo) per più di 5 Tick consecutivi, il motore di simulazione deve innescare un blocco totale della partita, notificando all'utente la bancarotta|"
KAN-53,10148,"Come sindaco, voglio che le infrastrutture cittadine richiedano ad ogni tick dei fondi di mantenimento","|Ogni edificio deve possedere un costo di mantenimento. Ad ogni Tick, la somma totale dei costi di mantenimento degli edifici attivi deve essere automaticamente sottratta dalle entrate cittadine|"
KAN-30,10125,Come giocatore voglio avere la possibilità di distruggere un edificio,Il sistema deve permette di distruggere un edificio -senza diminuire il valore delle finanze- per permettere di costruire un nuovo edificio sulla cella dell'edificio rimosso
KAN-31,10126,Come giocatore voglio avere la possibilità di vedere il motivo dell'inattività degli edifici,"Il simulatore deve prevedere un sistema che, avanzando al tick successivo al piazzamento di un edificio, deve evidenziare l'eventuale motivo di inattività dell'edificio"
